Serial Number,Variant,Software Version
1405A248872110,Dichot,1.74

time_stamp;tmoAmbientPressure_0;tmoAmbientRH_0;tmoAmbientTemp_0;tmoDichotMC1Hr_0;tmoDichotMC24Hr_0;tmoDichotMC30MinStd_0;tmoStatusCondition_0;tmoTEOMAMC1Hr_0;tmoTEOMAMC24Hr_0;tmoTEOMAMC30Min_0;tmoTEOMBMC_0;tmoTEOMBMC1Hr_0;tmoTEOMBMC24Hr_0;tmoTEOMBMC30Min_0;
09 - Jul - 2022 12:00:00;0,994;66,457;32,629;27,2232;32,8513;26,4767;134217728;22,6759;25,8972;22,0569;4,61291;4,54736;6,95405;4,41987;
09 - Jul - 2022 13:00:01;0,992;66,541;32,599;27,5434;32,6374;28,1865;134217728;23,0001;25,693;23,5856;4,72642;4,54329;6,94438;4,60095;
09 - Jul - 2022 14:00:00;0,992;66,572;32,619;27,5146;32,3784;27,6996;134217728;23,0369;25,4456;23,2303;4,56959;4,47769;6,93275;4,46939;
09 - Jul - 2022 15:00:00;0,992;66,6;32,609;28,8225;32,1632;29,0503;134217728;24,3587;25,2332;24,6678;4,54608;4,46379;6,93;4,38249;
09 - Jul - 2022 16:00:00;0,99;66,627;32,609;29,0985;31,9668;30,162;134217728;24,2496;25,0202;24,8658;5,47083;4,84889;6,94658;5,29619;
09 - Jul - 2022 17:00:00;0,99;66,655;32,599;31,5852;31,9914;32,5612;134217728;26,9755;25,0157;27,8989;4,84244;4,60966;6,97574;4,66233;
09 - Jul - 2022 18:00:01;0,99;66,627;32,599;34,9945;32,314;35,8426;134742016;30,0291;25,2766;30,6805;5,32328;4,96541;7,03741;5,16213;
09 - Jul - 2022 19:00:00;0,99;66,626;32,589;39,0631;32,6965;40,2504;134742016;33,6997;25,601;34,9479;5,53752;5,36338;7,09554;5,30257;
09 - Jul - 2022 20:00:00;0,991;66,765;32,549;44,7114;33,1191;46,8177;134742016;39,4495;25,9883;41,3054;5,7393;5,26192;7,13085;5,51227;
09 - Jul - 2022 21:00:01;0,992;66,736;32,549;46,605;33,5014;46,2234;134742016;41,4929;26,3658;41,1881;5,25581;5,1121;7,13557;5,03527;
09 - Jul - 2022 22:00:00;0,995;66,805;32,609;44,2831;33,7959;42,9844;134742016;39,3688;26,6721;38,2082;4,9157;4,91425;7,12379;4,77623;
09 - Jul - 2022 23:00:01;0,993;66,699;32,669;38,9335;32,3768;37,9627;134742016;34,5915;26,7888;33,5175;4,56108;4,34199;5,58795;4,44519;
10 - Jul - 2022 00:00:00;0,991;66,642;32,679;33,6279;31,5706;31,5451;134742016;29,5513;26,8543;27,7009;4,01377;4,07656;4,71626;3,84419;
10 - Jul - 2022 01:00:00;0,993;66,597;32,758;28,4944;31,3836;27,7643;134742016;24,9743;26,8331;24,3374;3,57923;3,52003;4,55045;3,42692;
10 - Jul - 2022 02:00:01;0,992;66,546;32,798;25,6034;31,1399;24,9507;134742016;22,4806;26,69;22,0015;3,05986;3,12278;4,44983;2,94917;
10 - Jul - 2022 03:00:00;0,991;66,516;32,798;23,8048;31,0221;24,3688;134742016;20,6938;26,6336;21,1319;3,3928;3,11094;4,38851;3,23692;
10 - Jul - 2022 04:00:00;0,99;66,496;32,848;24,8122;31,0497;25,2673;134742016;21,1573;26,6798;21,5736;3,79993;3,65495;4,36985;3,69374;
10 - Jul - 2022 05:00:00;0,988;66,507;32,908;25,6949;31,1612;25,8751;134742016;22,2864;26,7895;22,5564;3,43139;3,40851;4,3717;3,31873;
10 - Jul - 2022 06:00:00;0,99;65,215;32,948;24,9612;31,2424;24,8018;134742016;22,0451;26,8822;22,0026;2,93765;2,91616;4,36016;2,79913;
10 - Jul - 2022 07:00:00;0,991;64,856;32,579;23,6911;31,1398;27,249;134742016;16,3188;26,6771;16,9926;10,7009;7,37223;4,46269;10,2564;
10 - Jul - 2022 08:00:01;0,991;66,667;32,329;27,1966;31,1466;24,6635;134742016;21,1812;26,611;20,1967;4,99714;6,01537;4,53564;4,46681;
10 - Jul - 2022 09:00:00;0,99;68,122;32,159;24,474;30,9439;25,5086;134742016;20,8818;26,4551;21,5398;4,14321;3,59223;4,48883;3,9688;
10 - Jul - 2022 10:00:00;0,99;68,572;32,089;22,7982;30,6382;21,6774;134742016;18,4421;26,1653;16,9618;4,95503;4,35616;4,47291;4,71557;
10 - Jul - 2022 11:00:01;0,991;68,902;31,999;26,3499;30,4953;28,4188;134742016;18,5264;25,8945;19,4391;9,12334;7,82349;4,6008;8,97974;
10 - Jul - 2022 12:00:01;0,991;69,713;31,729;32,1429;30,7003;35,3242;134742016;23,267;25,9191;26,5068;9,22064;8,87592;4,78115;8,81742;
10 - Jul - 2022 13:00:00;0,992;70,395;31,55;43,0067;31,3446;44,4344;134742016;33,2725;26,3471;33,8413;10,773;9,73416;4,99744;10,5932;
10 - Jul - 2022 14:00:01;0,991;71,024;31,43;41,0592;31,9089;39,8757;134742016;29,6582;26,623;28,1867;12,003;11,401;5,28591;11,6889;
10 - Jul - 2022 15:00:00;0,991;71,463;31,35;42,226;32,4674;43,783;134742016;31,2967;26,9121;33,4581;10,8692;10,9293;5,55531;10,3249;
10 - Jul - 2022 16:00:00;0,991;71,844;31,29;46,471;33,1913;45,3532;134742016;34,2575;27,3291;33,2516;12,5715;12,2135;5,86217;12,1016;
10 - Jul - 2022 17:00:01;0,992;71,583;31,25;38,9487;33,4981;37,4512;134742016;28,9945;27,4132;27,6809;9,99315;9,95426;6,08486;9,77022;
10 - Jul - 2022 18:00:00;0,992;70,749;31,18;28,2555;33,2173;29,4399;134742016;20,5717;27,0192;21,0787;8,67135;7,68383;6,19813;8,36121;
10 - Jul - 2022 19:00:01;0,991;70,734;31,1;27,0447;32,7165;27,8855;134742016;19,1992;26,415;19,7522;8,57671;7,84554;6,30155;8,13335;
10 - Jul - 2022 20:00:01;0,992;70,581;31,19;36,9236;32,392;35,6226;134742016;27,4722;25,9159;26,8508;9,10895;9,45139;6,47611;8,77186;
10 - Jul - 2022 21:00:00;0,991;70,444;31,37;29,0283;31,6597;29,9144;134742016;21,8902;25,0991;22,2839;8,09448;7,13812;6,56053;7,63049;
10 - Jul - 2022 22:00:01;0,992;69,549;31,769;27,1231;30,9447;26,5453;134742016;20,9786;24,3329;20,9208;5,88413;6,14454;6,61179;5,62459;
10 - Jul - 2022 23:00:01;0,991;68,814;31,989;23,4008;30,2975;22,964;134742016;18,8728;23,6779;18,9328;4,15543;4,52799;6,61954;4,03124;
11 - Jul - 2022 00:00:00;0,993;67,332;32,129;14,0408;29,4813;12,399;134742016;11,7724;22,9371;10,7296;1,79994;2,26839;6,5442;1,66935;
11 - Jul - 2022 01:00:00;0,991;66,594;32,249;8,7423;28,6583;9,74996;134742016;6,88231;22,1833;8,0168;1,79884;1,85998;6,47503;1,73316;
11 - Jul - 2022 02:00:01;0,991;66,108;32,319;11,9277;28,0885;13,495;134742016;9,1756;21,6289;9,70926;3,71208;2,75211;6,45959;3,78574;
11 - Jul - 2022 03:00:01;0,991;66,29;32,349;15,7493;27,7529;14,6943;134742016;12,432;21,2847;11,6032;3,25268;3,31724;6,46818;3,09111;
11 - Jul - 2022 04:00:01;0,991;65,947;32,409;12,599;27,244;12,7858;134742016;10,0322;20,8211;10,3158;2,52067;2,56688;6,42285;2,47001;
11 - Jul - 2022 05:00:01;0,99;67,169;32,509;15,3889;26,8146;15,1372;134742016;11,0387;20,3525;10,8482;4,54863;4,35014;6,46208;4,28894;
11 - Jul - 2022 06:00:00;0,99;66,92;32,599;17,8849;26,5197;17,7259;134742016;13,4323;19,9936;13,5881;4,38495;4,45264;6,5261;4,13787;
11 - Jul - 2022 07:00:00;0,991;67,048;32,659;22,0974;26,4533;23,159;134742016;16,8792;20,017;17,5756;5,59607;5,21825;6,43635;5,58345;
11 - Jul - 2022 08:00:01;0,991;65,802;32,589;29,6974;26,5575;30,4939;134742016;18,9127;19,9224;17,9566;12,5478;10,7847;6,63508;12,5373;
11 - Jul - 2022 09:00:00;0,991;66,036;32,409;33,7361;26,9434;37,7075;134742016;20,0935;19,8896;22,2437;15,8442;13,6426;7,05384;15,4638;
11 - Jul - 2022 10:00:00;0,993;66,781;32,309;30,4539;27,2624;28,6286;134742016;21,2714;20,0075;21,1436;8,04249;9,18256;7,25494;7,48497;
11 - Jul - 2022 11:00:00;0,992;66,947;32,259;23,4935;27,1434;22,2771;134742016;18,0291;19,9868;17,0545;5,64928;5,46436;7,15664;5,22257;
11 - Jul - 2022 12:00:01;0,991;67,405;32,219;24,4738;26,8239;25,416;134742016;17,4912;19,7461;17,7186;7,97934;6,98255;7,07775;7,69742;
11 - Jul - 2022 13:00:00;0,991;67,908;32,249;28,9187;26,2369;30,2297;134742016;20,4319;19,2111;21,2054;9,51043;8,48683;7,02578;9,02422;
11 - Jul - 2022 14:00:00;0,991;68,566;32,209;37,3899;26,084;36,6156;134742016;25,0217;19,0179;25,8782;11,0616;12,3682;7,06608;10,7374;
11 - Jul - 2022 15:00:01;0,99;68,822;32,189;25,9847;25,4073;23,8874;134742016;20,5483;18,57;19,2234;4,92058;5,43643;6,83721;4,66403;
11 - Jul - 2022 16:00:01;0,991;68,778;32,119;22,605;24,4128;23,3537;134742016;16,735;17,8399;16,554;6,88148;5,86999;6,5729;6,7997;
11 - Jul - 2022 17:00:01;0,991;68,632;32,099;25,0829;23,8351;25,9282;134742016;17,1703;17,3473;17,6544;8,60367;7,91259;6,48783;8,27378;
11 - Jul - 2022 18:00:00;0,99;69,523;32,089;48,6449;24,6847;61,4351;134742016;36,8019;18,0235;48,8414;12,8073;11,843;6,66113;12,5937;
11 - Jul - 2022 19:00:01;0,992;68,448;32,039;44,637;25,4177;37,1023;134742016;34,8159;18,6742;27,8259;9,67782;9,82105;6,74344;9,27642;
11 - Jul - 2022 20:00:00;0,991;69,659;32,049;33,1901;25,2621;32,7711;134742016;24,762;18,5613;24,4429;8,81126;8,4281;6,7008;8,32816;
11 - Jul - 2022 21:00:01;0,991;70,149;32,069;32,3933;25,4023;28,66;134742016;25,5803;18,715;23,6364;5,33938;6,81298;6,68726;5,02356;
11 - Jul - 2022 22:00:00;0,991;68,843;31,989;12,7046;24,8015;6,50322;134742016;9,50707;18,2371;4,004;2,70681;3,19749;6,56446;2,49922;
11 - Jul - 2022 23:00:00;0,993;67,841;32,069;7,80739;24,1518;8,28901;134742016;5,82282;17,6933;6,11396;2,23642;1,98458;6,45849;2,17505;
12 - Jul - 2022 00:00:01;0,994;66,958;32,159;7,33944;23,8726;6,2244;134742016;5,52383;17,433;4,56442;1,7063;1,81561;6,43962;1,65998;
12 - Jul - 2022 01:00:01;0,991;65,923;32,269;5,44774;23,7353;6,02658;134742016;4,31802;17,3261;5,21288;0,872433;1,12972;6,40919;0,813699;
12 - Jul - 2022 02:00:01;0,991;65,175;32,379;4,57508;23,429;5,23188;134742016;3,73292;17,0993;4,09252;1,18663;0,842155;6,32961;1,13936;
12 - Jul - 2022 03:00:00;0,99;66,067;32,419;5,39947;22,9977;5,43152;134742016;4,22947;16,7576;4,44869;1,09169;1,17;6,24015;0,982834;
12 - Jul - 2022 04:00:00;0,991;66,714;32,429;6,30784;22,7356;6,81165;134742016;5,35771;16,5628;5,69613;1,19057;0,95013;6,17278;1,11552;
12 - Jul - 2022 05:00:01;0,991;67,681;32,449;9,37759;22,4851;10,9438;134742016;6,59577;16,3777;6,99865;4,27412;2,78182;6,10743;3,94517;
